,,,,LUNI,,,,,,,MARTI,,,,,,,MIERCURI,,,,,,,JOI,,,,,,,VINERI,,,,,,,SÂMBATA,,,,,,,
Anul,Spec.,Grupa,Sgr.,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,
,,,B,LFC-L-PP5- Plajer_I_C,,,,,,,,,,,,,,,,,LFC-C-PIII1- Baicoianu_A,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LFC-S-PII1- Nistor-Serban_A,,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,,,,,,,,,,,,,,,,,,,,,,
,,10LF223,A,IA-L-PII5- Nutu_M,LFC-S-PII1- Nistor-Serban_A,,PSE-C-PII2- Turculet_A_R,PSE-S-PIII2- Lazar_C_M,MIP-C-PII2- Dumitrescu_S_R,,AG-L-PII4- Spridon_D_E,,,,,,,,,MC-C-PII2- Baicoianu_A,LFC-C-PIII1- Baicoianu_A,BD-C-PIII1- Aldea_C_L,AG-C-PIII1- Deaconu_A_M,,IA-C-PIII2- Sasu_L_M,,,,,,,MC-L-PII3- Popa_I,BD-L-PII3- Nistor-Serban_A,MIP-L-PII3- Ritan_L,,,EdFiz2-S-SCol 1- Tohanean_D_I,,,,,,,,,
,,,,,LFC-L-PP5- Plajer_I_C,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B,,LFC-S-PII1- Nistor-Serban_A,,,,,,,,,,,,,,,,LFC-C-PIII1- Baicoianu_A,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,LFC-L-PP5- Plajer_I_C,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,,,,,,,,,,,,,,,,,,,,,,
,,10LF224,A,,LFC-L-PP5- Plajer_I_C,MIP-L-PII6- Ritan_L,PSE-C-PII2- Turculet_A_R,PSE-S-PIII2- Lazar_C_M,MIP-C-PII2- Dumitrescu_S_R,,IA-L-PII7- Nutu_M,BD-L-PII7- Nistor-Serban_A,,,,,,,,MC-C-PII2- Baicoianu_A,LFC-C-PIII1- Baicoianu_A,BD-C-PIII1- Aldea_C_L,AG-C-PIII1- Deaconu_A_M,,IA-C-PIII2- Sasu_L_M,,,,,,,,,,MC-L-PII6- Popa_I,AG-L-PII4- Spridon_D_E,EdFiz2-S-SCol 1- Tohanean_D_I,,,,,,,,,
,,,,,LFC-S-PII1- Nistor-Serban_A,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B,,LFC-L-PP5- Plajer_I_C,,,,,,,,,,,,,,,,LFC-C-PIII1- Baicoianu_A,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,LFC-S-PII1- Nistor-Serban_A,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,IA,10LF321,A,G3D-C-PII2- Ichim_S,,,PSE-C-PII2- Turculet_A_R,,PSE-S-PIII2- Lazar_C_M,,G3D-L-PII5- Ichim_S,MIP-L-PII5- Duca_D_M,,,MC-L-PP1- Popa_I,,,,,MIP-C-PI2- Bocu_R,LFC-C-PIII1- Baicoianu_A,BD-C-PIII1- Aldea_C_L,AG-C-PIII1- Deaconu_A_M,,LFC-S-PI1- Nistor-Serban_A,BD-L-PII6- Nistor-Serban_A,AG-L-PIII4- Nanau_C_S,MC-C-PIII2- Baicoianu_A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,LFC-L-PII4- Popa_I,,,,,,,,,,,,,,,,,,,,,
,,,B,,,,,,,,,,,,,,,,,,LFC-C-PIII1- Baicoianu_A,,,,LFC-S-PI1- Nistor-Serban_A,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,LFC-L-PII4- Popa_I,,,,,,,,,,,,,,,,,,,,,
,,10LF322,A,G3D-C-PII2- Ichim_S,,,PSE-C-PII2- Turculet_A_R,,PSE-S-PIII2- Lazar_C_M,,,,BD-L-PII6- Nistor-Serban_A,MC-L-PII6- Popa_I,AG-L-PII6- Spridon_D_E,MIP-L-PII6- Duca_D_M,,,,MIP-C-PI2- Bocu_R,LFC-C-PIII1- Baicoianu_A,BD-C-PIII1- Aldea_C_L,AG-C-PIII1- Deaconu_A_M,,G3D-L-PII5- Ichim_S,,LFC-S-PP5- Nistor-Serban_A,MC-C-PIII2- Baicoianu_A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,,,LFC-L-PP5- Popa_I,,,,,,,,,,,,,,,,,,,
,,,B,,,,,,,,,,,,,,,,,,LFC-C-PIII1- Baicoianu_A,,,,,,LFC-S-PP5- Nistor-Serban_A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,,,LFC-L-PP5- Popa_I,,,,,,,,,,,,,,,,,,,
,,10LF323,A,G3D-C-PII2- Ichim_S,,BD-L-PIII4- Nistor-Serban_A,PSE-C-PII2- Turculet_A_R,,PSE-S-PIII2- Lazar_C_M,,,,,,,MC-L-PP1- Popa_I,,,,MIP-C-PI2- Bocu_R,LFC-C-PIII1- Baicoianu_A,BD-C-PIII1- Aldea_C_L,AG-C-PIII1- Deaconu_A_M,,LFC-L-PII4- Popa_I,AG-L-PIII4- Nanau_C_S,,MC-C-PIII2- Baicoianu_A,,,,G3D-L-PII5- Ichim_S,MIP-L-PII5- Duca_D_M,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,LFC-S-PI1- Nistor-Serban_A,,,,,,,,,,,,,,,,,,,,,
,,,B,,,,,,,,,,,,,,,,,,LFC-C-PIII1- Baicoianu_A,,,,LFC-L-PII4- Popa_I,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,LFC-S-PI1- Nistor-Serban_A,,,,,,,,,,,,,,,,,,,,,
2.0,IAG,10LF421,A,,,,PSE-C-PII2- Turculet_A_R,,PSE-S-PIII2- Lazar_C_M,,,SO-C-PII2- Florea_I_L,LFC-S-PIII4- Baicoianu_A,SO-L-PII5- Florea_I_L,AG-C-PII2- Ciupala_L_A,,,MIP-C-PI2- Monescu_V,LFC-C-PI2- Baicoianu_A,,,,,,,,AG-L-PII6- Ciupala_L_A,Prog2-C-PI1- Iacob_B,Prog2-L-PII3- Iacob_B,MIP-L-PII4- Monescu_V,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,LFC-L-PIII4- Baicoianu_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B,,,,,,,,,,LFC-S-PIII4- Baicoianu_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,LFC-L-PIII4- Baicoianu_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10LF422,A,,,,PSE-C-PII2- Turculet_A_R,,PSE-S-PIII2- Lazar_C_M,,,SO-C-PII2- Florea_I_L,SO-L-PII5- Florea_I_L,LFC-S-PIII4- Baicoianu_A,AG-C-PII2- Ciupala_L_A,,,MIP-C-PI2- Monescu_V,LFC-C-PI2- Baicoianu_A,,,,,,,,,Prog2-C-PI1- Iacob_B,AG-L-PII6- Ciupala_L_A,Prog2-L-PII3- Iacob_B,,,,,,,,,,,,,,,,
